iteration,Energy_norm,Enstrophy_norm,Palinstropy_norm
0,1.0,0.0,0.0
1,1.9850974353524402,0.0,0.0
2,2.6943840112812545,0.0,0.0
3,3.18045736557961,0.0,0.0
4,3.5021721946980144,0.0,0.0
5,3.7092377819964115,0.0,0.0
6,3.843496413196797,0.0,0.0
7,3.9388858629726453,0.0,0.0
8,4.019413138808398,0.0,0.0
9,4.098350376123132,0.0,0.0
10,4.180126558237839,0.0,0.0
11,4.263497541017518,0.0,0.0
12,4.344613977388421,0.0,0.0
13,4.419237869437147,0.0,0.0
14,4.484196735613477,0.0,0.0
15,4.5379988225853705,0.0,0.0
16,4.580895609978419,0.0,0.0
17,4.6146261265941515,0.0,0.0
18,4.641818350367211,0.0,0.0
19,4.6653895790906,0.0,0.0
20,4.688047248656852,0.0,0.0
21,4.711943164625736,0.0,0.0
22,4.738471274887296,0.0,0.0
23,4.768255058516876,0.0,0.0
24,4.801211706516151,0.0,0.0
25,4.836699737699631,0.0,0.0
26,4.873728611868003,0.0,0.0
27,4.911151284345971,0.0,0.0
28,4.947839169998095,0.0,0.0
29,4.982816852456536,0.0,0.0
30,5.0153534577335455,0.0,0.0
31,5.045001851485365,0.0,0.0
32,5.071600629507783,0.0,0.0
33,5.095242204718827,0.0,0.0
34,5.1162222016882115,0.0,0.0
35,5.134976801884222,0.0,0.0
36,5.152020733953081,0.0,0.0
37,5.167890882355414,0.0,0.0
38,5.18309984141859,0.0,0.0
39,5.198101232827786,0.0,0.0
40,5.213268598576085,0.0,0.0
41,5.228884630938652,0.0,0.0
42,5.245139751457952,0.0,0.0
43,5.262137758868612,0.0,0.0
44,5.279906453752546,0.0,0.0
45,5.298408633402184,0.0,0.0
46,5.317556334502866,0.0,0.0
47,5.337224526999738,0.0,0.0
48,5.357263683697127,0.0,0.0
49,5.3775106523533465,0.0,0.0
50,5.397797836774158,0.0,0.0
51,5.417960680074206,0.0,0.0
52,5.4378435503783695,0.0,0.0
53,5.457304064598667,0.0,0.0
54,5.4762166385257265,0.0,0.0
55,5.49447464762566,0.0,0.0
56,5.51199164473192,0.0,0.0
57,5.528701794653879,0.0,0.0
58,5.54455964702857,0.0,0.0
59,5.559539367980821,0.0,0.0
60,5.573633489741844,0.0,0.0
61,5.586851271148847,0.0,0.0
62,5.599216736609698,0.0,0.0
63,5.610766429282258,0.0,0.0
64,5.6215470781950225,0.0,0.0
65,5.631613124253634,0.0,0.0
66,5.641024285762653,0.0,0.0
67,5.64984309389037,0.0,0.0
68,5.658132655300874,0.0,0.0
69,5.665954642464543,0.0,0.0
70,5.673367562886384,0.0,0.0
71,5.680425344989765,0.0,0.0
72,5.687176261166677,0.0,0.0
73,5.693662191658905,0.0,0.0
74,5.699918220557294,0.0,0.0
75,5.705972541671638,0.0,0.0
76,5.7118466434345985,0.0,0.0
77,5.717555735039943,0.0,0.0
78,5.723109371372813,0.0,0.0
79,5.728512231940312,0.0,0.0
80,5.73376500782091,0.0,0.0
81,5.73886535066267,0.0,0.0
82,5.743808839161257,0.0,0.0
83,5.748589920687526,0.0,0.0
84,5.753202789194847,0.0,0.0
85,5.757642165276381,0.0,0.0
86,5.761903949761744,0.0,0.0
87,5.76598572846966,0.0,0.0
88,5.769887127289457,0.0,0.0
89,5.773609992746205,0.0,0.0
90,5.777158417974734,0.0,0.0
91,5.780538622581651,0.0,0.0
92,5.783758706869384,0.0,0.0
93,5.786828306062037,0.0,0.0
94,5.789758173760101,0.0,0.0
95,5.7925597255590064,0.0,0.0
96,5.795244573381095,0.0,0.0
97,5.797824078834028,0.0,0.0
98,5.800308950132074,0.0,0.0
99,5.802708902201881,0.0,0.0
100,5.8050323939843205,0.0,0.0
101,5.807286451080474,0.0,0.0
102,5.809476576173064,0.0,0.0
103,5.81160674442021,0.0,0.0
104,5.813679476520388,0.0,0.0
105,5.815695978555944,0.0,0.0
106,5.81765633512761,0.0,0.0
107,5.819559740713385,0.0,0.0
108,5.821404753583691,0.0,0.0
109,5.823189556897599,0.0,0.0
110,5.824912212675819,0.0,0.0
111,5.826570896056278,0.0,0.0
112,5.828164099435654,0.0,0.0
113,5.829690798626034,0.0,0.0
114,5.831150575852702,0.0,0.0
115,5.832543696520643,0.0,0.0
116,5.833871142451374,0.0,0.0
117,5.835134600267703,0.0,0.0
118,5.836336411576224,0.0,0.0
119,5.837479490961734,0.0,0.0
120,5.838567218815738,0.0,0.0
121,5.839603316863536,0.0,0.0
122,5.840591714431029,0.0,0.0
123,5.841536413229598,0.0,0.0
124,5.842441357792744,0.0,0.0
125,5.843310317743369,0.0,0.0
126,5.844146786887077,0.0,0.0
127,5.8449539027991095,0.0,0.0
128,5.845734389184052,0.0,0.0
129,5.846490521915738,0.0,0.0
130,5.847224118378271,0.0,0.0
131,5.847936548584268,0.0,0.0
132,5.848628765586509,0.0,0.0
133,5.849301351954159,0.0,0.0
134,5.849954578569986,0.0,0.0
135,5.850588471724567,0.0,0.0
136,5.851202884428928,0.0,0.0
137,5.851797568020524,0.0,0.0
138,5.852372240473042,0.0,0.0
139,5.852926648305699,0.0,0.0
140,5.85346061958572,0.0,0.0
141,5.853974106189635,0.0,0.0
142,5.854467214194948,0.0,0.0
143,5.85494022197574,0.0,0.0
144,5.855393586238572,0.0,0.0
145,5.85582793682854,0.0,0.0
146,5.8562440616425215,0.0,0.0
147,5.856642883373035,0.0,0.0
148,5.857025429989835,0.0,0.0
149,5.85739280118096,0.0,0.0
150,5.857746132860078,0.0,0.0
151,5.858086561785195,0.0,0.0
152,5.858415192145056,0.0,0.0
153,5.8587330656997425,0.0,0.0
154,5.859041136734545,0.0,0.0
155,5.859340252723294,0.0,0.0
156,5.8596311412212785,0.0,0.0
157,5.859914403139183,0.0,0.0
158,5.860190512206519,0.0,0.0
159,5.86045982013137,0.0,0.0
160,5.860722566714314,0.0,0.0
161,5.860978893986363,0.0,0.0
162,5.861228863317436,0.0,0.0
163,5.861472474383949,0.0,0.0
164,5.861709684888328,0.0,0.0
165,5.861940429983789,0.0,0.0
166,5.8621646404665935,0.0,0.0
167,5.862382258944939,0.0,0.0
168,5.862593253495155,0.0,0.0
169,5.862797628113075,0.0,0.0
170,5.862995429144696,0.0,0.0
171,5.863186749810713,0.0,0.0
172,5.863371730854634,0.0,0.0
173,5.8635505582307745,0.0,0.0
174,5.863723458265146,0.0,0.0
175,5.863890690792328,0.0,0.0
176,5.864052540828451,0.0,0.0
177,5.864209309363298,0.0,0.0
178,5.864361303845256,0.0,0.0
179,5.864508828894533,0.0,0.0
180,5.864652177717381,0.0,0.0
181,5.864791624612993,0.0,0.0
182,5.864927418871156,0.0,0.0
183,5.865059780258814,0.0,0.0
184,5.865188896193199,0.0,0.0
185,5.865314920602927,0.0,0.0
186,5.865437974391065,0.0,0.0
187,5.865558147339169,0.0,0.0
188,5.8656755012312995,0.0,0.0
189,5.865790073933935,0.0,0.0
190,5.865901884142109,0.0,0.0
191,5.8660109364938,0.0,0.0
192,5.866117226762468,0.0,0.0
193,5.866220746859776,0.0,0.0
194,5.866321489414423,0.0,0.0
195,5.866419451735997,0.0,0.0
196,5.866514639021578,0.0,0.0
197,5.866607066714672,0.0,0.0
198,5.86669676197776,0.0,0.0
199,5.866783764288837,0.0,0.0
200,5.866868125216426,0.0,0.0
201,5.866949907464789,0.0,0.0
202,5.867029183310281,0.0,0.0
203,5.867106032570068,0.0,0.0
204,5.867180540255569,0.0,0.0
205,5.867252794065346,0.0,0.0
206,5.867322881866192,0.0,0.0
207,5.867390889298202,0.0,0.0
208,5.867456897620768,0.0,0.0
209,5.867520981893202,0.0,0.0
210,5.867583209557939,0.0,0.0
211,5.867643639467106,0.0,0.0
212,5.867702321366651,0.0,0.0
213,5.867759295827208,0.0,0.0
214,5.867814594588713,0.0,0.0
215,5.867868241267342,0.0,0.0
216,5.867920252359291,0.0,0.0
217,5.86797063846629,0.0,0.0
218,5.868019405663206,0.0,0.0
219,5.86806655692772,0.0,0.0
220,5.8681120935561175,0.0,0.0
221,5.868156016496588,0.0,0.0
222,5.868198327541909,0.0,0.0
223,5.868239030335646,0.0,0.0
224,5.8682781311597685,0.0,0.0
225,5.868315639485433,0.0,0.0
226,5.868351568282626,0.0,0.0
227,5.868385934096812,0.0,0.0
228,5.868418756912062,0.0,0.0
229,5.8684500598290175,0.0,0.0
230,5.868479868593102,0.0,0.0
231,5.8685082110125535,0.0,0.0
232,5.868535116307938,0.0,0.0
233,5.868560614434388,0.0,0.0
234,5.86858473541533,0.0,0.0
235,5.868607508722257,0.0,0.0
236,5.868628962729529,0.0,0.0
237,5.8686491242664625,0.0,0.0
238,5.8686680182819915,0.0,0.0
239,5.868685667629842,0.0,0.0
240,5.868702092975084,0.0,0.0
241,5.868717312816664,0.0,0.0
242,5.868731343614829,0.0,0.0
243,5.868744200007997,0.0,0.0
244,5.868755895100311,0.0,0.0
245,5.868766440799103,0.0,0.0
246,5.868775848180848,0.0,0.0
247,5.868784127864517,0.0,0.0
248,5.868791290372793,0.0,0.0
249,5.8687973464639525,0.0,0.0
250,5.8688023074202365,0.0,0.0
251,5.86880618528206,0.0,0.0
252,5.868808993021082,0.0,0.0
253,5.868810744648947,0.0,0.0
254,5.868811455262073,0.0,0.0
255,5.868811141026065,0.0,0.0
256,5.868809819106095,0.0,0.0
257,5.868807507551816,0.0,0.0
258,5.868804225146831,0.0,0.0
259,5.868799991233696,0.0,0.0
260,5.868794825525644,0.0,0.0
261,5.868788747915861,0.0,0.0
262,5.8687817782942915,0.0,0.0
263,5.868773936380602,0.0,0.0
264,5.868765241580317,0.0,0.0
265,5.8687557128693255,0.0,0.0
266,5.868745368709927,0.0,0.0
267,5.868734226999772,0.0,0.0
268,5.868722305053115,0.0,0.0
269,5.868709619612261,0.0,0.0
270,5.868696186885689,0.0,0.0
271,5.868682022608229,0.0,0.0
272,5.868667142118058,0.0,0.0
273,5.868651560444745,0.0,0.0
274,5.868635292402666,0.0,0.0
275,5.86861835268424,0.0,0.0
276,5.868600755948,0.0,0.0
277,5.868582516897218,0.0,0.0
278,5.868563650345701,0.0,0.0
279,5.868544171268279,0.0,0.0
280,5.8685240948346005,0.0,0.0
281,5.868503436425785,0.0,0.0
282,5.868482211634397,0.0,0.0
283,5.868460436249063,0.0,0.0
284,5.868438126225718,0.0,0.0
285,5.86841529764793,0.0,0.0
286,5.868391966679146,0.0,0.0
287,5.868368149509846,0.0,0.0
288,5.868343862302562,0.0,0.0
289,5.868319121137604,0.0,0.0
290,5.86829394196199,0.0,0.0
291,5.868268340543746,0.0,0.0
292,5.86824233243323,0.0,0.0
293,5.868215932932614,0.0,0.0
294,5.868189157074236,0.0,0.0
