iteration,Energy,Enstrophy,Palinstropy
0,1.290493588035462,0.0,0.0
1,2.5617555119479642,0.0,0.0
2,3.477085290263727,0.0,0.0
3,4.104359837300644,0.0,0.0
4,4.519530761453869,0.0,0.0
5,4.786747574165248,0.0,0.0
6,4.960007476867763,0.0,0.0
7,5.083106950169726,0.0,0.0
8,5.187026883297728,0.0,0.0
9,5.288894881909625,0.0,0.0
10,5.394426520582675,0.0,0.0
11,5.502016239288066,0.0,0.0
12,5.606696480309003,0.0,0.0
13,5.702998134512135,0.0,0.0
14,5.786827134798742,0.0,0.0
15,5.856258383058897,0.0,0.0
16,5.911616412136945,0.0,0.0
17,5.955145427550673,0.0,0.0
18,5.990236817974231,0.0,0.0
19,6.020655337503881,0.0,0.0
20,6.049894914798957,0.0,0.0
21,6.080732441137036,0.0,0.0
22,6.1149667973322765,0.0,0.0
23,6.153402579133685,0.0,0.0
24,6.195932922059891,0.0,0.0
25,6.241729998754174,0.0,0.0
26,6.289515523440631,0.0,0.0
27,6.3378092423206,0.0,0.0
28,6.385154723513244,0.0,0.0
29,6.430293198450203,0.0,0.0
30,6.472281478936624,0.0,0.0
31,6.510542540968897,0.0,0.0
32,6.544868093456406,0.0,0.0
33,6.575377394677317,0.0,0.0
34,6.602451946243311,0.0,0.0
35,6.626654637542432,0.0,0.0
36,6.648649722592205,0.0,0.0
37,6.669130047346588,0.0,0.0
38,6.688757111498311,0.0,0.0
39,6.708116310923487,0.0,0.0
40,6.727689699169057,0.0,0.0
41,6.747842088803504,0.0,0.0
42,6.768819217606404,0.0,0.0
43,6.790755037179239,0.0,0.0
44,6.813685423994715,0.0,0.0
45,6.837562368197253,0.0,0.0
46,6.862272353693303,0.0,0.0
47,6.887654029998764,0.0,0.0
48,6.913514433226382,0.0,0.0
49,6.939643016454387,0.0,0.0
50,6.965823497868739,0.0,0.0
51,6.991843517864013,0.0,0.0
52,7.017502234503278,0.0,0.0
53,7.042615903324444,0.0,0.0
54,7.067022458710561,0.0,0.0
55,7.090584302384319,0.0,0.0
56,7.113189874831583,0.0,0.0
57,7.134754216160982,0.0,0.0
58,7.155218672970534,0.0,0.0
59,7.1745499068099745,0.0,0.0
60,7.1927382805715645,0.0,0.0
61,7.2097957427253565,0.0,0.0
62,7.225753296615659,0.0,0.0
63,7.240658100953378,0.0,0.0
64,7.2545704592501625,0.0,0.0
65,7.26756062714567,0.0,0.0
66,7.279705670729026,0.0,0.0
67,7.291086286071959,0.0,0.0
68,7.30178391191984,0.0,0.0
69,7.311878136200251,0.0,0.0
70,7.321444462473255,0.0,0.0
71,7.33055248502342,0.0,0.0
72,7.339264499063088,0.0,0.0
73,7.347634550775753,0.0,0.0
74,7.355707915955687,0.0,0.0
75,7.363520978533657,0.0,0.0
76,7.371101469194225,0.0,0.0
77,7.378469015304429,0.0,0.0
78,7.385635947382279,0.0,0.0
79,7.392608304301685,0.0,0.0
80,7.399386977894985,0.0,0.0
81,7.405968937629059,0.0,0.0
82,7.412348477839013,0.0,0.0
83,7.4185184328925375,0.0,0.0
84,7.424471310123685,0.0,0.0
85,7.430200296491783,0.0,0.0
86,7.435700102043733,0.0,0.0
87,7.440967611294079,0.0,0.0
88,7.4460023414553955,0.0,0.0
89,7.450806675456447,0.0,0.0
90,7.455385895461488,0.0,0.0
91,7.459748027832962,0.0,0.0
92,7.463903525959215,0.0,0.0
93,7.467864824035173,0.0,0.0
94,7.471645799513317,0.0,0.0
95,7.475261184146353,0.0,0.0
96,7.478725963045609,0.0,0.0
97,7.482054798292921,0.0,0.0
98,7.485261508770143,0.0,0.0
99,7.488358631527822,0.0,0.0
100,7.491357082774913,0.0,0.0
101,7.494265929004565,0.0,0.0
102,7.497092271393548,0.0,0.0
103,7.499841239857927,0.0,0.0
104,7.502516087342922,0.0,0.0
105,7.5051183702900675,0.0,0.0
106,7.507648197876065,0.0,0.0
107,7.510104530579939,0.0,0.0
108,7.512485507858912,0.0,0.0
109,7.514788785091415,0.0,0.0
110,7.5170118613276,0.0,0.0
111,7.5191523815946635,0.0,0.0
112,7.521208400340184,0.0,0.0
113,7.523178595856228,0.0,0.0
114,7.525062429007203,0.0,0.0
115,7.526860242296541,0.0,0.0
116,7.5285733027586135,0.0,0.0
117,7.53020378696934,0.0,0.0
118,7.531754716757014,0.0,0.0
119,7.53322985337463,0.0,0.0
120,7.5346335591957505,0.0,0.0
121,7.535970637083009,0.0,0.0
122,7.537246157806289,0.0,0.0
123,7.538465285548466,0.0,0.0
124,7.5396331107047345,0.0,0.0
125,7.540754497949276,0.0,0.0
126,7.54183395601582,0.0,0.0
127,7.5428755339251,0.0,0.0
128,7.543882746600418,0.0,0.0
129,7.544858531042363,0.0,0.0
130,7.545805232573467,0.0,0.0
131,7.546724619186227,0.0,0.0
132,7.547617920789148,0.0,0.0
133,7.548485889184001,0.0,0.0
134,7.54932887394326,0.0,0.0
135,7.550146908994747,0.0,0.0
136,7.550939804650132,0.0,0.0
137,7.5517072400119964,0.0,0.0
138,7.552448851127192,0.0,0.0
139,7.553164310880392,0.0,0.0
